Brand,Model,Size_in,Throat_in,Diameter_mm,Z_ohm,Re_ohm,Le_mH,Bl_Tm,Sd_cm2,Mms_g,Mmd_g,Cms_mm_per_N,Vas_L,Fs_Hz,Qms,Qes,Qts,Rms_kg_per_s,Xmax_mm,Power_W,Sensitivity_dB,XO_min_Hz,Freq_low_Hz,Source_URL
18Sound,15NTLW3500,15.0,,,8.0,5.2,0.46,19.5,881.0,106.0,,,131.0,45.0,8.7,0.4,0.39,,8.3,900.0,98.0,,,
18Sound,15NW530,15,,,8.0,5.3,1.4,22,855,135,,,154,38,5.81,0.35,0.33,,7.5,500,104.4,,,
18Sound,15TLW3000,15,,,4.0,2.5,1,18,881,177,,,80,44,9.80,0.41,0.39,,9,1500,95.5,,,
18Sound,15TLW3000,15.0,,,8.0,6.0,1.78,23.4,881.0,157.0,,,140.0,42.0,10.5,0.46,0.44,,9.0,1500.0,95.5,,,
18Sound,15W1200,15,,,8.0,5.5,1.7,25,900,108,,,134,45,4.10,0.27,0.25,,6,850,107.6,,,
18Sound,15W1301,15,,,8.0,5.5,1.55,22.3,900,99,,,123,48,8.50,0.37,0.32,,6,800,107.4,,,
18Sound,15W500,15,,,8.0,5.2,1.04,12.6,850,55,,,189,50,9.64,0.55,0.52,,4,350,107.5,,,
18Sound,15W600,15,,,8.0,5.6,1.85,20.5,850,93,,,183,38,7.20,0.30,0.29,,6.5,500,106.5,,,
18Sound,15W700,,,,4.0,,,,,,,,,,,,,,,,,,,
18Sound,15W700,15.0,,,8.0,5.7,1.57,18.4,850.0,80.0,,,217.0,38.0,3.8,0.33,0.3,,6.5,450.0,99.0,,,
18Sound,15W750,15,,,4.0,2.7,0.73,14,850,89.5,,,253,39,6.20,0.30,0.29,,8,600,109.9,,,
18Sound,15W750,15,,,8.0,5.1,1.1,17.6,850,88,,,218,39,9.34,0.39,0.37,,8,600,106.5,,,
18Sound,15W930,15.0,,,8.0,5.5,1.47,22.1,850.0,97.0,,,240.0,33.0,8.78,0.23,0.22,,7.5,500.0,98.0,,,
18Sound,18LW1250,,,,8.0,,,,,,,,,,,,,,,,,,,
18Sound,18LW1251,,,,8.0,,,,,,,,,,,,,,,,,,,
18Sound,18LW1400,,,,8.0,,,,,,,,,,,,,,,,,,,
18Sound,18LW2400,,,,4.0,,,,,,,,,,,,,,,,,,,
18Sound,18LW2400,,,,8.0,,,,,,,,,,,,,,,,,,,
18Sound,18NLW4000,,,,8.0,,,,,,,,,,,,,,,,,,,
18Sound,18NLW9400,,,,8.0,,,,,,,,,,,,,,,,,,,
18Sound,18NLW9601,,,,8.0,,,,,,,,,,,,,,,,,,,
18Sound,18NLW9601C,,,,8.0,,,,,,,,,,,,,,,,,,,
18Sound,18NTLW5000,,,,8.0,,,,,,,,,,,,,,,,,,,
18Sound,18TLW3000,,,,8.0,,,,,,,,,,,,,,,,,,,
18Sound,18W1001,,,,,,,,,,,,,,,,,,,,,,,
18Sound,18W2001,,,,8.0,,,,,,,,,,,,,,,,,,,
18Sound,21LW1400,,,,8.0,,,,,,,,,,,,,,,,,,,
18Sound,21LW2500,,,,8.0,,,,,,,,,,,,,,,,,,,
18Sound,21NLW9601,,,,8.0,,,,,,,,,,,,,,,,,,,
18Sound,5W430,5.0,,,8.0,5.4,0.49,6.3,90.0,8.2,,,15.0,52.0,2.77,0.36,0.32,,6.0,80.0,89.0,,,
18Sound,6M44,6.5,,,8.0,5.3,0.32,13.4,132.0,16.0,,,3.8,102.0,4.4,0.31,0.29,,2.25,200.0,95.0,,,
18Sound,6ND410,6.5,,,8.0,5.9,0.67,11.6,143.0,8.2,,,6.2,120.0,2.2,0.27,0.24,,2.0,180.0,102.0,,,
18Sound,6ND430,,,,4.0,,,,,,,,,,,,,,,,,,,
18Sound,6ND430,6.5,,,8.0,5.5,0.28,10.0,133.0,13.3,,,12.6,61.0,6.5,0.28,0.27,,5.0,200.0,92.5,,,
18Sound,6ND430,,,,16.0,,,,,,,,,,,,,,,,,,,
18Sound,6NMB420,6.5,,,8.0,5.3,0.1,9.0,130.0,8.5,,,6.1,110.0,2.7,0.38,0.33,,3.0,200.0,100.0,,,
18Sound,6NMB420,,,,16.0,,,,,,,,,,,,,,,,,,,
18Sound,6NMB900,6.5,,,8.0,5.2,0.1,8.5,130.0,7.4,,,10.3,95.0,2.87,0.36,0.32,,3.0,200.0,97.0,,,
18Sound,6NTLW2000,6.5,,,8.0,5.1,0.22,11.6,133.0,19.0,,,4.6,86.0,5.0,0.38,0.35,,4.9,320.0,93.0,,,
18Sound,8CX401F-8+8,,,,,,,,,,,,,,,,,,,,,,,
18Sound,8M400F,,,,8.0,,,,,,,,,,,,,,,,,,,
18Sound,8MB500,,,,8.0,,,,,,,,,,,,,,,,,,,
18Sound,8NMB420,,,,4.0,,,,,,,,,,,,,,,,,,,
18Sound,8NMB420,,,,8.0,,,,,,,,,,,,,,,,,,,
18Sound,8NMB750,,,,16.0,,,,,,,,,,,,,,,,,,,
18Sound,8NTLW2000,,,,16.0,,,,,,,,,,,,,,,,,,,
18Sound,8NW650,,,,8.0,,,,,,,,,,,,,,,,,,,
18Sound,amt100h,,3.0,,8.0,,,,,,,,,,,,,,,25,93.0,1200.0,800.0,https://eighteensound.it/en/products/hf-driver/3-0/8/amt100h
18Sound,amt200p,,6.5,,16.0,,,,,,,,,,,,,,,60,103.5,1200.0,800.0,https://eighteensound.it/en/products/hf-driver/6-5/16/amt200p
18Sound,HD1000,,1.0,100,8.0,,,,,,,,,,,,,,,50,109.0,1600.0,1600.0,https://eighteensound.it/en/products/hf-driver/1-0/8/HD1000
18Sound,HD1030,,1.0,91,8.0,,,,,,,,,,,,,,,30,106.0,1800.0,1800.0,https://eighteensound.it/en/products/hf-driver/1-0/8/HD1030
18Sound,HD1040,,1.0,110,8.0,,,,,,,,,,,,,,,40,107.0,1600.0,1600.0,https://eighteensound.it/en/products/hf-driver/1-0/8/HD1040
18Sound,HD1040,,,,16.0,,,,,,,,,,,,,,,,,,,
18Sound,HD1050,,1.0,110,8.0,,,,,,,,,,,,,,,50,107.0,1400.0,1600.0,https://eighteensound.it/en/products/hf-driver/1-0/8/HD1050
18Sound,HD110,,1.0,86,8.0,,,,,,,,,,,,,,,20,109.0,2500.0,2000.0,https://eighteensound.it/en/products/hf-driver/1-0/8/HD110
18Sound,HD125,,1.0,87,8.0,,,,,,,,,,,,,,,25,109.0,2500.0,2000.0,https://eighteensound.it/en/products/hf-driver/1-0/8/HD125
18Sound,hd125-,,1.0,87,16.0,,,,,,,,,,,,,,,25,109.0,2500.0,2000.0,https://eighteensound.it/en/products/hf-driver/1-0/16/hd125-16ohm
18Sound,HD1480T,,1.4,169,8.0,,,,,,,,,,,,,,,100,109.0,800.0,500.0,https://eighteensound.it/en/products/hf-driver/1-4/8/HD1480T
18Sound,HD2000,,1.4,145,8.0,,,,,,,,,,,,,,,70,108.0,1000.0,1000.0,https://eighteensound.it/en/products/hf-driver/1-4/8/HD2000
18Sound,HD2020,,2.0,145,8.0,,,,,,,,,,,,,,,70,108.0,1200.0,1000.0,https://eighteensound.it/en/products/hf-driver/2-0/8/HD2020
18Sound,HD2080T,,2.0,169,8.0,,1.8,,,,,,,,,,,,,100,109.0,800.0,500.0,https://eighteensound.it/en/products/hf-driver/2-0/8/HD2080T
18Sound,HD3000T,,1.4,170,8.0,,,,,,,,,,,,,,,120,112.0,1200.0,800.0,https://eighteensound.it/en/products/hf-driver/1-4/8/HD3000T
18Sound,hd3020t,,2.0,170,8.0,,,,,,,,,,,,,,,110,110.0,1000.0,800.0,https://eighteensound.it/en/products/hf-driver/2-0/8/hd3020t
18Sound,ND100KT,,0.75,,8.0,,,,,,,,,,,,,,,50,111.0,500.0,500.0,https://eighteensound.it/en/products/hf-driver/0-75/8/ND100KT
18Sound,ND1018BT,,1.0,98,8.0,,,,,,,,,,,,,,,50,108.0,1600.0,1600.0,https://eighteensound.it/en/products/hf-driver/1-0/8/ND1018BT
18Sound,ND1020,,1.0,85,8.0,,,,,,,,,,,,,,,30,108.5,1600.0,1600.0,https://eighteensound.it/en/products/hf-driver/1-0/8/ND1020
18Sound,ND1030,,1.0,85,8.0,,,,,,,,,,,,,,,30,107.0,1800.0,1800.0,https://eighteensound.it/en/products/hf-driver/1-0/8/ND1030
18Sound,ND1050,,1.0,75,8.0,,,,,,,,,,,,,,,50,110.0,1600.0,1600.0,https://eighteensound.it/en/products/hf-driver/1-0/8/ND1050
18Sound,nd1050_,,1.0,75,16.0,,,,,,,,,,,,,,,50,110.0,1600.0,1600.0,https://eighteensound.it/en/products/hf-driver/1-0/16/nd1050_16ohm
18Sound,ND1060,,1.0,98,8.0,,,,,,,,,,,,,,,40,108.0,1600.0,1600.0,https://eighteensound.it/en/products/hf-driver/1-0/8/ND1060
18Sound,ND1070,,1.0,98,8.0,,,,,,,,,,,,,,,50,109.0,1600.0,1600.0,https://eighteensound.it/en/products/hf-driver/1-0/8/ND1070
18Sound,ND1075,,1.0,98,8.0,,,,,,,,,,,,,,,50,108.0,1600.0,1600.0,https://eighteensound.it/en/products/hf-driver/1-0/8/ND1075
18Sound,ND1085,,1.0,92,8.0,,,,,,,,,,,,,,,40,109.0,1600.0,1600.0,https://eighteensound.it/en/products/hf-driver/1-0/8/ND1085
18Sound,ND1090,,1.0,93,8.0,,,,,,,,,,,,,,,50,110.0,1600.0,1600.0,https://eighteensound.it/en/products/hf-driver/1-0/8/ND1090
18Sound,nd1090,,1.0,93,16.0,,,,,,,,,,,,,,,50,110.0,1600.0,1600.0,https://eighteensound.it/en/products/hf-driver/1-0/16/nd1090
18Sound,ND1424BT,,1.4,116,8.0,,,,,,,,,,,,,,,70,109.0,1200.0,800.0,https://eighteensound.it/en/products/hf-driver/1-4/8/ND1424BT
18Sound,nd1424bt,,1.4,116,16.0,,,,,,,,,,,,,,,70,109.0,1200.0,800.0,https://eighteensound.it/en/products/hf-driver/1-4/16/nd1424bt
18Sound,ND1460,,1.4,132,8.0,,,,,,,,,,,,,,,100,109.0,800.0,500.0,https://eighteensound.it/en/products/hf-driver/1-4/8/ND1460
18Sound,nd1460,,1.4,132,16.0,,,,,,,,,,,,,,,100,109.0,800.0,500.0,https://eighteensound.it/en/products/hf-driver/1-4/16/nd1460%2016ohm
18Sound,ND1460A,,1.4,132,8.0,,,,,,,,,,,,,,,80,110.0,800.0,500.0,https://eighteensound.it/en/products/hf-driver/1-4/8/ND1460A
18Sound,nd1460a,,1.4,132,16.0,,,,,,,,,,,,,,,80,110.0,800.0,500.0,https://eighteensound.it/en/products/hf-driver/1-4/16/nd1460a%2016ohm
